,case,organ,dice,method
160,64,Rectum,0.021779049187898636,04
161,65,Rectum,0.02459583431482315,04
162,66,Rectum,0.02273326925933361,04
163,67,Rectum,0.023457463830709457,04
164,68,Rectum,0.014812365174293518,04
165,69,Rectum,0.021729150786995888,04
166,70,Rectum,0.014021475799381733,04
167,71,Rectum,0.021855553612113,04
168,72,Rectum,0.023271482437849045,04
169,73,Rectum,0.022620273754000664,04
170,74,Rectum,0.03193541243672371,04
171,75,Rectum,0.02316187135875225,04
172,76,Rectum,0.04313119500875473,04
173,77,Rectum,0.019171029329299927,04
174,78,Rectum,0.02386251650750637,04
175,79,Rectum,0.021326551213860512,04
176,80,Rectum,0.022234663367271423,04
177,81,Rectum,0.030367005616426468,04
178,82,Rectum,0.024954000487923622,04
179,83,Rectum,0.021003689616918564,04
180,84,Rectum,0.029231978580355644,04
181,85,Rectum,0.013424541801214218,04
182,86,Rectum,0.017070967704057693,04
183,87,Rectum,0.02093377709388733,04
184,88,Rectum,0.0258322823792696,04
185,89,Rectum,0.03144802525639534,04
186,90,Rectum,0.017415162175893784,04
187,91,Rectum,0.02064741961658001,04
188,92,Rectum,0.035448651760816574,04
189,93,Rectum,0.024277355521917343,04
190,94,Rectum,0.0191310066729784,04
191,95,Rectum,0.021026991307735443,04
192,0,Bladder,0.9048777222633362,01
193,1,Bladder,0.856553852558136,01
194,2,Bladder,0.9352018237113953,01
195,3,Bladder,0.9353575706481934,01
196,4,Bladder,0.8947498798370361,01
197,5,Bladder,0.9201527237892151,01
198,6,Bladder,0.7704238295555115,01
199,7,Bladder,0.9135621190071106,01
200,8,Bladder,0.9107372760772705,01
201,9,Bladder,0.8403727412223816,01
202,10,Bladder,0.9202592968940735,01
203,11,Bladder,0.9267791509628296,01
204,12,Bladder,0.9284281134605408,01
205,13,Bladder,0.8861787915229797,01
206,14,Bladder,0.9125672578811646,01
207,15,Bladder,0.9285620450973511,01
208,16,Bladder,0.8263271450996399,01
209,17,Bladder,0.9097968935966492,01
210,18,Bladder,0.8470643758773804,01
211,19,Bladder,0.9372379779815674,01
212,20,Bladder,0.9181483387947083,01
213,21,Bladder,0.9247698783874512,01
214,22,Bladder,0.8611288666725159,01
215,23,Bladder,0.8388245701789856,01
216,24,Bladder,0.9506840109825134,01
217,25,Bladder,0.932854950428009,01
218,26,Bladder,0.7885214686393738,01
219,27,Bladder,0.8470829129219055,01
220,28,Bladder,0.9304919242858887,01
221,29,Bladder,0.7361111044883728,01
222,30,Bladder,0.8929577469825745,01
223,31,Bladder,0.920016884803772,01
224,32,Bladder,0.8997521996498108,01
225,33,Bladder,0.8841091394424438,01
226,34,Bladder,0.9308420419692993,01
227,35,Bladder,0.8583300113677979,01
